Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
SAN JUAN,Sarmiento,Cienaguita,438,--,--,--,SI,--,SI,--,--,--,70105020.0,-32.0763381339971,-68.690762577729
SAN JUAN,Sarmiento,Colonia Fiscal,607,--,--,--,--,--,--,--,--,--,70105030.0,-31.9027437264496,-68.4696588673219
SAN JUAN,Sarmiento,Divisadero,413,--,--,--,--,--,SI,SI,--,SI,70105040.0,-32.0104984358581,-68.6904861018003
SAN JUAN,Sarmiento,Guanacache,200,--,--,--,--,--,SI,SI,--,SI,70105050.0,-32.0753813271385,-68.5856950572685
SAN JUAN,Sarmiento,Las Lagunas,298,--,--,--,--,SI,--,--,SI,SI,70105060.0,-32.0443775419211,-68.3778990229646
SAN JUAN,Sarmiento,Los Berros,3783,--,--,--,SI,--,SI,SI,SI,SI,70105070.0,-31.9514576383242,-68.6510941298035
SAN JUAN,Sarmiento,Pedernal,537,--,--,--,--,--,SI,--,--,SI,70105080.0,-31.9950077029707,-68.7590874861116
SAN JUAN,Sarmiento,Punta del Médano,576,--,--,--,--,--,SI,SI,--,SI,70105090.0,-31.8946043291143,-68.4183104905607
SAN JUAN,Sarmiento,Villa Media Agua,7983,--,--,--,SI,--,SI,SI,SI,SI,70105100.0,-31.9810022624945,-68.4270029177237
SAN JUAN,Ullum,Villa Ibáñez,4421,--,--,SI,--,--,SI,SI,SI,SI,70112010.0,-31.4659385111811,-68.7353338028121
SAN JUAN,Valle Fértil,Astica,740,--,--,--,--,--,SI,SI,SI,SI,70119010.0,-30.9538850864023,-67.3006351406982
SAN JUAN,Valle Fértil,Balde del Rosario,93,--,--,--,--,--,--,SI,--,--,70119020.0,-30.3207151787316,-67.6951969177397
SAN JUAN,Valle Fértil,Chucuma,123,--,--,--,--,--,--,--,SI,--,70119030.0,-31.0688861561951,-67.2788289085567
SAN JUAN,Valle Fértil,Los Baldecitos,53,--,--,--,--,--,--,SI,SI,SI,70119040.0,-30.2241888429483,-67.7014210305429
SAN JUAN,Valle Fértil,Usno,339,--,--,--,--,--,--,--,--,--,70119050.0,-30.5640053498102,-67.540327100629
SAN JUAN,Valle Fértil,Villa San Agustín,4423,--,--,--,SI,SI,SI,SI,--,SI,70119060.0,-30.6367084796207,-67.4650598603898
SAN JUAN,Zonda,Villa Basilio Nievas,4539,--,--,--,--,--,SI,SI,SI,SI,70133010.0,-31.543878931951,-68.7407758815646
SAN JUAN,Chimbas,Chimbas,87258,SI,--,SI,SI,--,SI,SI,SI,SI,70042010.0,-31.4929011532856,-68.4840477499344
SAN JUAN,Chimbas,El Mogote,0,--,--,--,--,--,--,--,--,--,70042010.0,-31.4800263304441,-68.4821821646732
