,Provincia,Partido,Localidad,Hasta 5 Mbps,6 a 20 Mbps,20 a 100 Mbps
2378,SAN JUAN,Jáchal,San Isidro,92,2,0
2379,SAN JUAN,Jáchal,San José de Jáchal,937,146,0
2380,SAN JUAN,Jáchal,Tamberías,60,1,0
2381,SAN JUAN,Jáchal,Villa Malvinas Argentinas,22,1,0
2382,SAN JUAN,Jáchal,Villa Mercedes,164,2,0
2383,SAN JUAN,OTROS,Otros,4,0,0
2384,SAN JUAN,Pocito,Barrio Ruta 40,13,0,0
2385,SAN JUAN,Pocito,Carpintería,13,0,0
2386,SAN JUAN,Pocito,Quinto Cuartel,24,32,0
2387,SAN JUAN,Pocito,Villa Aberastain,4,53,0
2388,SAN JUAN,Pocito,Villa Aberastain - La Rinconada,219,475,0
2389,SAN JUAN,Pocito,Villa Barbosa - Villa Nacusi,82,7,0
2390,SAN JUAN,Pocito,Villa Centenario,50,2,0
2391,SAN JUAN,Rawson,El Medanito,27,5,0
2392,SAN JUAN,Rawson,Rawson,858,58,35
2393,SAN JUAN,Rawson,Villa Bolaños,114,191,31
2394,SAN JUAN,Rawson,Villa Krause,0,253,0
2395,SAN JUAN,Rivadavia,Rivadavia,1087,944,70
2396,SAN JUAN,San Martín,Barrio Sadop,2,0,0
2397,SAN JUAN,San Martín,Dos Acequias (Est. Los Angacos),5,29,0
2398,SAN JUAN,San Martín,San Isidro (Est. Los Angacos),4,2,0
2399,SAN JUAN,San Martín,Villa Dominguito (Est. Puntilla Blanca),2,0,0
2400,SAN JUAN,San Martín,Villa Don Bosco (Est. Angaco Sud),55,10,0
2401,SAN JUAN,San Martín,Villa El Salvador,4,0,0
2402,SAN JUAN,San Martín,Villa San Martín,8,9,0
2403,SAN JUAN,Santa Lucía,Alto de Sierra,0,18,0
2404,SAN JUAN,Santa Lucía,Santa Lucía,795,1496,102
2405,SAN JUAN,Sarmiento,Cañada Honda,3,1,0
2406,SAN JUAN,Sarmiento,Cienaguita,1,1,0
2407,SAN JUAN,Sarmiento,Divisadero,10,0,0
2408,SAN JUAN,Sarmiento,Guanacache,7,0,0
2409,SAN JUAN,Sarmiento,Las Lagunas,1,0,0
2410,SAN JUAN,Sarmiento,Los Berros,14,55,0
2411,SAN JUAN,Sarmiento,Pedernal,10,0,0
2412,SAN JUAN,Sarmiento,Punta del Médano,1,0,0
2413,SAN JUAN,Sarmiento,Villa Media Agua,23,137,0
2414,SAN JUAN,Ullum,Villa Ibáñez,201,187,0
2415,SAN JUAN,Valle Fértil,Astica,0,30,0
2416,SAN JUAN,Valle Fértil,Otros,0,0,0
2417,SAN JUAN,Valle Fértil,Villa San Agustín,4,260,0
2418,SAN JUAN,Zonda,Villa Basilio Nievas,224,125,0
