Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
SAN JUAN,Rivadavia,Rivadavia,SI,--,SI,SI,SI,SI,SI,SI,SI
SAN JUAN,San Martín,Barrio Sadop,--,--,--,--,--,--,--,SI,--
SAN JUAN,San Martín,Dos Acequias (Est. Los Angacos),--,--,--,--,--,--,--,SI,--
SAN JUAN,San Martín,San Isidro (Est. Los Angacos),SI,--,--,--,SI,SI,--,SI,--
SAN JUAN,San Martín,Villa Dominguito (Est. Puntilla Blanca),--,--,--,--,--,--,--,SI,--
SAN JUAN,San Martín,Villa Don Bosco (Est. Angaco Sud),--,--,--,SI,SI,SI,SI,SI,--
SAN JUAN,San Martín,Villa El Salvador,--,--,--,--,--,--,--,SI,--
SAN JUAN,San Martín,Villa San Martín,--,--,--,--,SI,SI,--,SI,SI
SAN JUAN,Santa Lucía,Alto De Sierra,--,--,--,--,SI,SI,--,SI,--
SAN JUAN,Santa Lucía,Colonia Gutierrez,--,--,--,--,SI,SI,--,--,--
SAN JUAN,Santa Lucía,Santa Lucía,SI,--,SI,SI,SI,SI,SI,SI,--
SAN JUAN,Sarmiento,Cañada Honda,--,--,--,SI,SI,--,SI,SI,SI
SAN JUAN,Jáchal,San José de Jáchal,--,--,SI,SI,SI,SI,SI,SI,SI
SAN JUAN,Jáchal,Tamberías,--,--,--,--,--,--,SI,SI,--
SAN JUAN,Jáchal,Villa Malvinas Argentinas,--,--,--,--,--,--,--,SI,--
SAN JUAN,Jáchal,Villa Mercedes,--,--,--,--,SI,--,SI,SI,SI
SAN JUAN,Pocito,Barrio Municipal,--,--,--,--,--,--,--,--,--
SAN JUAN,Pocito,Barrio Ruta 40,--,--,--,--,SI,SI,--,SI,--
SAN JUAN,Pocito,Carpintería,--,--,--,--,SI,--,SI,SI,--
SAN JUAN,Pocito,La Rinconada,--,--,--,--,SI,SI,--,--,--
SAN JUAN,Pocito,Las Piedritas,--,--,--,--,--,--,--,--,--
SAN JUAN,Pocito,Quinto Cuartel,--,--,--,--,SI,SI,SI,SI,--
SAN JUAN,Pocito,Villa Aberastain,--,--,--,--,SI,SI,--,SI,--
SAN JUAN,Pocito,Villa Aberastain - La Rinconada,SI,--,SI,--,--,--,SI,SI,SI
SAN JUAN,Pocito,Villa Barbosa - Villa Nacusi,--,--,--,--,SI,SI,--,SI,--
SAN JUAN,Pocito,Villa Barboza,--,--,--,--,SI,SI,--,--,--
SAN JUAN,Pocito,Villa Centenario,--,--,--,--,SI,SI,--,SI,--
SAN JUAN,Pocito,Villa Nacusi,--,--,--,--,--,--,--,--,--
SAN JUAN,Rawson,El Medanito,--,--,--,--,--,SI,--,SI,--
SAN JUAN,Sarmiento,Cienaguita,--,--,--,SI,--,--,--,SI,--
SAN JUAN,Sarmiento,Colonia Fiscal,--,--,--,--,--,--,--,--,--
SAN JUAN,Sarmiento,Divisadero,--,--,--,--,SI,--,SI,SI,--
SAN JUAN,Sarmiento,Guanacache,--,--,--,--,SI,--,SI,SI,--
SAN JUAN,Sarmiento,Las Lagunas,--,--,--,--,SI,SI,--,--,SI
SAN JUAN,Sarmiento,Los Berros,--,--,--,SI,SI,SI,SI,SI,--
SAN JUAN,Sarmiento,Pedernal,--,--,--,--,SI,--,--,SI,--
SAN JUAN,Sarmiento,Punta del Médano,--,--,--,--,SI,--,SI,SI,--
SAN JUAN,Sarmiento,Villa Media Agua,--,--,--,SI,SI,SI,SI,SI,--
SAN JUAN,Ullum,Villa Ibáñez,--,--,SI,--,SI,SI,SI,SI,--
SAN JUAN,Valle Fértil,Astica,--,--,--,--,SI,SI,SI,SI,--
SAN JUAN,Valle Fértil,Balde del Rosario,--,--,--,--,--,--,SI,--,--
SAN JUAN,Valle Fértil,Chucuma,--,--,--,--,--,SI,--,--,--
SAN JUAN,Valle Fértil,Los Baldecitos,--,--,--,--,SI,SI,SI,--,--
SAN JUAN,Valle Fértil,Usno,--,--,--,--,--,--,--,--,--
SAN JUAN,Valle Fértil,Villa San Agustín,--,--,--,SI,SI,--,SI,SI,SI
SAN JUAN,Zonda,Villa Basilio Nievas,--,--,--,--,SI,SI,SI,SI,--
SAN JUAN,Chimbas,Chimbas,SI,--,SI,SI,SI,SI,SI,SI,--
SAN JUAN,Chimbas,El Mogote,--,--,--,--,--,--,--,--,--
SAN JUAN,Chimbas,Villa Paula Albarracin,--,--,--,--,SI,SI,--,SI,--
SAN JUAN,Iglesia,Angualasto,--,--,--,--,SI,--,--,SI,--
SAN JUAN,Iglesia,Bella Vista,--,--,--,--,--,--,--,SI,SI
